Key	Type	Desc	English	Polish	German
Roles/Fisherman	Text		Fisherman	Rybak	Fischer
Roles/FishermanDesc	Text		A patient fisherman with a fishing rod at hand and an eye on the lure.	Cierpliwy rybak z wędką pod ręką i okiem na przynęcie.	Ein geduldiger Angler mit einer Angel in der Hand und einem Auge auf dem Köder.
Roles/Gardener	Text		Gardener	Ogrodnik	Gärtner
Roles/GardenerDesc	Text		A seasoned farmer with green fingers eager to turn some soil.	Doświadczony rolnik z zielonymi palcami, chętny do uprawy ziemi.	Ein erfahrener Landwirt mit grünem Daumen, der bereit ist, sich die Hände schmutzig zu machen.
Roles/Mage	Text	 [new]	Mage	Mag	Magier
Roles/MageDesc	Text	 [new]	An apprentice mage who manipulates magical energies to overcome enemies.	Praktykujący mag, który manipuluje energią magiczną w celu pokonania wrogów.	Ein Zauberlehrling, der magische Energien manipuliert, um Feinde zu besiegen.
Roles/Miner	Text		Miner	Górnik	Bergmann
Roles/MinerDesc	Text		A veteran miner knowledgeable about breaking down walls effectively.	Doświadczony górnik znający się na skutecznym niszczeniu ścian.	Ein erfahrener Bergmann, der weiß, wie man Wände effektiv einreißt.
Roles/Nomad	Text		Nomad	Nomad	Nomade
Roles/NomadDesc	Text		An ordinary person without starting equipment but all the possibilities.	Zwykła osoba bez sprzętu startowego, ale ze wszystkimi możliwościami.	Ein normaler Mensch ohne Anfangsausrüstung, aber mit allen Möglichkeiten.
Roles/Ranger	Text		Ranger	Strzelec	Jäger
Roles/RangerDesc	Text		A swift fighter with a keen eye that's trained to hit enemies from far away.	Szybki wojownik z bystrym okiem, wyszkolony do trafiania wrogów z daleka.	Ein flinker Kämpfer mit scharfem Auge, der darauf trainiert ist, Gegner auf weite Distanz zu bekämpfen.
Roles/Warlock	Text	 [new]	Warlock	Czarnoksiężnik	Hexenmeister
Roles/WarlockDesc	Text	 [new]	An adept warlock who conjures dark minions to besiege and bewilder foes.	Adept czarnoksięstwa, który wyczarowuje mrocznych sługusów, by oblegać wrogów.	Ein erfahrener Hexenmeister, der finstere Schergen beschwört, um Feinde zu bedrängen und zu verwirren.
SalvageButtonDesc	Text		Salvage tools, weapons and equipment to gain scrap parts and some of the crafting materials back. Items with less durability gives back less materials.	Złomowanie narzędzi, broni i sprzętu w celu odzyskania części złomu i niektórych materiałów rzemieślniczych. Przedmioty o mniejszej wytrzymałości zwracają mniej materiałów.	Berge Werkzeuge, Waffen und Ausrüstung, um Schrottteile und einen Teil der Fertigungsmaterialien zurückzugewinnen. Gegenstände mit geringerer Haltbarkeit geben weniger Materialien zurück.
SalvageButtonTitle	Text		Salvage	Odzysk	Zurückgewinnen
Salvaging	Text	"Shown as title in the salvage and repair UI
"	Salvaging	Przywracanie	Zurückgewinnen
ScanWorld	Text		Scan the world	Skanuj świat	Welt scannen
Seasons/Anniversary	Text		Anniversary	Rocznica	Jubiläum
Seasons/CherryBlossom	Text		Cherry blossom	Kwitnąca wiśnia	Kirschblüte
Seasons/Christmas	Text		Christmas	Boże Narodzenie	Weihnachten
Seasons/Easter	Text		Easter	Wielkanoc	Ostern
Seasons/Halloween	Text		Halloween	Halloween	Halloween
Seasons/LunarNewYear	Text		Lunar New Year	Księżycowy Nowy Rok	Mondneujahr
Seasons/None	Text		None	Brak	Keines
Seasons/Valentine	Text		Valentine	Walentynki	Valentinstag
Simple	Text		Simple	Proste	Einfach
SkillIncrease/Cooking	Text		+ {0} cooking	+ {0} gotowania	+ {0} Kochen
SkillIncrease/Crafting	Text		+ {0} crafting	+ {0} rzemiosła	+ {0} Fertigung
SkillIncrease/Fishing	Text		+ {0} fishing	+ {0} wędkarstwa	+ {0} Angeln
SkillIncrease/Gardening	Text		+ {0} gardening	+ {0} ogrodnictwa	+ {0} Gärtnern
SkillIncrease/Magic	Text	 [new]	+ {0} magic	+ {0} magii	+ {0} Magie
SkillIncrease/Melee	Text		+ {0} melee	+ {0} walki wręcz	+ {0} Nahkampf
SkillIncrease/Mining	Text		+ {0} mining	+ {0} górnictwa	+ {0} Bergbau
SkillIncrease/Range	Text		+ {0} range combat	+ {0} walki na dystans	+ {0} Fernkampf
SkillIncrease/Running	Text		+ {0} running	+ {0} biegania	+ {0} Laufen
SkillIncrease/Summoning	Text	 [new]	+ {0} summoning	+ {0} przywołania	+ {0} Beschwörung
SkillIncrease/Vitality	Text		+ {0} vitality	+ {0} witalności	+ {0} Vitalität
SkillTalents/ArmorIncreaseFromMovementSpeed	Text		Breaking barriers	Przełamywanie barier	Schallmauer
SkillTalents/BonusDamageOnCrit	Text	 [new]	Arcane frenzy	Szał magii	Arkaner Rausch
SkillTalents/ChanceForExtraOre	Text		Meticulous miner	Skrupulatny górnik	Bedächtiger Bergbau
SkillTalents/ChanceForRandomLootFromWall	Text		Archaeologist	Archeolog	Archäologe
SkillTalents/ChanceOnMeleeHitToIncreaseRangeDamage	Text		Taking a step back	Krok wstecz	Klinge und Korn
SkillTalents/ChanceOnRangeHitToIncreaseMeleeDamage	Text		Charging in	Szarża	Ansturm
SkillTalents/ChanceToApplyPoison	Text		Poison coated weapons	Broń pokryta trucizną	Vergiftete Waffen
SkillTalents/ChanceToApplySlimeOnRangeHit	Text		Slimy bullets	Śluzowate pociski	Schleim-Projektile
SkillTalents/ChanceToGainHigherRarityCookedFood	Text		Master chef	Mistrz kuchni	Meisterkoch
SkillTalents/ChanceToGainHigherRarityPlants	Text		Expert gardener	Doświadczony ogrodnik	Gartenexperte
SkillTalents/ChanceToNotDieOnLethalHit	Text		Cheat death	Oszukać śmierć	Den Tod betrügen
SkillTalents/ChanceToPreserveBait	Text		Chewy bait	Sycąca przynęta	Zäher Köder
SkillTalents/ChanceToRestoreHealthOnMeleeHit	Text		Seething blade	Gorejące ostrze	Dürstende Klinge
SkillTalents/ChanceToStunOnRangeHit	Text		Stun shot	Strzał ogłuszający	Schreckschuss
SkillTalents/CostReductionAtAnvil	Text		Blacksmith	Kowal	Profischmied
SkillTalents/CritChance	Text	 [new]	True sight	Prawdziwy wzrok	Wahre Sicht
SkillTalents/CriticalDamageMultiplier	Text		Amplified precision	Wzmocniona precyzja	Perfekte Präzision
SkillTalents/CriticalHitMultiplier	Text		Thorny weapons	Kolczasta broń	Dornige Waffen
SkillTalents/DamageIncreaseAgainstBosses	Text		Strength of the Ancients	Siła starożytnych	Macht der Alten
SkillTalents/DamageIncreaseAgainstPoisoned	Text		Potent poison	Silna trucizna	Potentes Gift
SkillTalents/DamageIncreaseAtLowerHealth	Text		Desperate fighter	Zdesperowany wojownik	Nichts zu verlieren
SkillTalents/DamageIncreaseAtMaxHealth	Text		Strong and healthy	Silny i zdrowy	Gesund und kräftig
SkillTalents/DodgeChanceIncrease	Text		Studied patterns	Przestudiowane wzorce	Erlernte Muster
SkillTalents/DodgeIncreaseWhileStandingStill	Text		Balanced stance	Zrównoważona postawa	Schattenschritt
SkillTalents/DrainLessHunger	Text		Endurance runner	Wytrzymały biegacz	Ausdauerläufer
SkillTalents/EquipmentDurabilityLastsLonger	Text		High quality equipment	Wysokiej jakości sprzęt	Hochwertige Ausrüstung
SkillTalents/ExplosivesImprovement	Text		Explosives engineer	Inżynier materiałów wybuchowych	Explosive Effizienz
SkillTalents/ExtraItemChanceAtAlchemyTable	Text		Alchemist	Alchemik	Alchemist
SkillTalents/ExtraItemChanceAtBaseBuilding	Text		Base builder	Konstruktor baz	Basis-Bauherr
SkillTalents/ExtraItemChanceAtRailsWiresAndBelts	Text		Industry specialist	Specjalista branżowy	Industriespezialist
SkillTalents/FishBitesFaster	Text		Improved bait	Ulepszona przynęta	Köstliche Köder
SkillTalents/FishChanceIncrease	Text		Fisherman's luck	Szczęście rybaka	Petri Heil
SkillTalents/FishStartsCloserToBeReeledIn	Text		Angler's advantage	Przewaga wędkarza	Anglervorteil
SkillTalents/FishingAsRangeDamage	Text		Well-trained aim	Dobrze wyszkolony cel	Trainiertes Zielen
SkillTalents/FoodBuffsLastLonger	Text		Long-lasting food	Długotrwała żywność	Langlebiges Essen
SkillTalents/GainDurabilityOnOreWall	Text		Self-mending alloy	Samonaprawiający się stop	Selbstflickende Legierung
SkillTalents/GainHungerFromHarvesting	Text		Feast for the eyes	Uczta dla oczu	Das Auge isst mit
SkillTalents/GainMoreFood	Text		Eat your vegetables!	Zjedz swoje warzywka!	Iss dein Gemüse!
SkillTalents/GainMoreFoodFromCookedFood	Text		Utilizing every nutrient	Wykorzystanie każdego składnika odżywczego	Nützliche Nährstoffe
SkillTalents/GuaranteedRangeCritsChance	Text		Weakness detection	Wykrywanie słabości	Schwachpunkt-Erkennung
SkillTalents/HealingEffectivenessIncrease	Text		Healing potency	Potencjał leczniczy	Potente Heilung
SkillTalents/HealingPotionAddHealOverTime	Text		Lingering potions	Utrzymujące się mikstury	Süßer Nachgeschmack
SkillTalents/HealthRegenIncreaseBelowHalfHealth	Text		Stayin' alive	Pozostanie przy życiu	Notpflaster
SkillTalents/ImprovedWaterCan	Text		Bottomless water can	Konewka bez dna	Bodenlose Gießkanne
SkillTalents/IncreaseAttackSpeedFromCookedFood	Text		Fast food	Szybkie jedzenie	Fast Food
SkillTalents/IncreaseAttackSpeedOnNextThreeAttacksChance	Text		Fast and furious	Szybcy i wściekli	Fuchtelschwung
SkillTalents/IncreaseDamageForAllNearbyAllies	Text		The smell of food	Zapach jedzenia	Duftende Gerichte
SkillTalents/IncreaseDamageWhenEatingFish	Text		Power of Omega-3!	Moc Omega-3!	Die Kraft von Omega-3!
SkillTalents/IncreasedArmorAtLowHealth	Text		Unbreakable	Niezniszczalne	Letzter Widerstand
SkillTalents/KnockbackChance	Text		Heavy swings	Mocne huśtawki	Schwere Schläge
SkillTalents/MagicBarrierAsDamage	Text	 [new]	The best offense	Najlepszy atak	Der beste Angriff
SkillTalents/MagicBarrierAsManaRegeneration	Text	 [new]	Arcane transfusion	Tajemna transfuzja	Arkane Transfusion
SkillTalents/MagicBarrierDelayReduction	Text	 [new]	Firmly grounded	Mocne uziemienie	Solide geerdet
SkillTalents/MagicDamagaAsMinionDamage	Text	 [new]	Trickle down arcana	Podstępna magia	Tröpfchenprinzip-Arkana
SkillTalents/ManaPercentageOnCrit	Text	 [new]	Mana channeling	Przesyłanie many	Mana-Kanalisierung
SkillTalents/ManaRegenDelayReduction	Text	 [new]	Deep pool	Głęboka pula	Tiefes Becken
SkillTalents/MaxHealthIncreaseFromAllSkillPoints	Text		Maxed out!	Na maksa!	Am Limit
SkillTalents/MeleeAttackSpeed	Text		Quick strikes	Szybkie uderzenia	Schnelle Schläge
SkillTalents/MeleeDamageIncreaseOnHittingSameTarget	Text		Stubborn fighter	Uparty wojownik	Hartnäckig
SkillTalents/MiningDamageAsMeleeDamage	Text		Miner's strength	Siła górnika	Muskelschmalz
SkillTalents/MiningDamagePercentage	Text		Efficient excavation	Wydajne kopanie	Effiziente Ausgrabung
SkillTalents/MiningSpeedIncrease	Text		Mine, mine, mine!	Kopać, kopać, kopać!	Graben, graben, graben!
SkillTalents/MinionAttackSpeed	Text	 [new]	Ferocious creatures	Okrutne stworzenia	Wilde Kreaturen
SkillTalents/MinionCountAsMagicBarrier	Text	 [new]	Tough gang	Mocny gang	Knallharte Gang
SkillTalents/MinionCountAsMagicDamage	Text	 [new]	Group effort	Wysiłek grupowy	Gruppenleistung
SkillTalents/MinionCritChance	Text	 [new]	Critical command	Krytyczna komenda	Kritischer Befehl
SkillTalents/MinionDespawnHealsPlayer	Text	 [new]	Proxy parasites	Pasożyty zastępcze	Ersatzparasiten
SkillTalents/MinionLifespan	Text	 [new]	Longing for this world	Tęsknota za tym światem	Sehnsucht nach dieser Welt
SkillTalents/MovementIncreaseAfterConsistentRunning	Text		Gotta go fast!	Jestem szybkością!	Bruder, muss los
SkillTalents/MovementIncreaseAfterDodge	Text		On your toes	Na palcach	Ausweichsprinter
SkillTalents/MovementIncreaseAfterMining	Text		Pick and run!	Bierz i uciekaj!	Nimm, was du kriegen kannst
SkillTalents/NearbyAlliesGainHealingFromCookedFood	Text		Sharing is caring	Dzielenie jest troską	Teilen macht Freude
SkillTalents/NearbyEnemiesSlowedDown	Text		Encumbering presence	Obciążająca obecność	Bedrohliche Präsenz
SkillTalents/PlayerAttackSpeedPerMinion	Text	 [new]	Power in numbers	Siła w liczbie	Zahlenmäßige Überlegenheit
SkillTalents/PolishedItemChanceAtJewelryTable	Text		Jewelry crafter	Twórca biżuterii	Goldschmied
SkillTalents/RangeAttackSpeed	Text		Rapid shots	Szybkie strzały	Rapid-Schuss
SkillTalents/ReducedDamageTakenFromBosses	Text		Protection of the Ancients	Ochrona starożytnych	Schutz der Alten
SkillTalents/ReducedImpactOfSlipperyMovement	Text		Steady feet	Stabilne stopy	Sicherer Stand
SkillTalents/RemainingManaAsDamage	Text	 [new]	Fully charged	Pełne naładowanie	Voll geladen
SkillTalents/RodRangeIncrease	Text		Throwing expert	Ekspert od rzutów	Auswurf-Experte
SkillTalents/SeedFromPlantChanceIncrease	Text		Grateful gardener	Wdzięczny ogrodnik	Gründlicher Gärtner
SkillTalents/SnareTimeReduction	Text		Escape artist	Artysta ucieczek	Entfesslungskünstler
SkillTalents/StackingDamageWhileRunning	Text		Keeping tempo	Utrzymywanie tempa	Tempo halten
SkillTalents/StackingMeleeDamage	Text		Building anger	Budowanie gniewu	Steigende Wut
SkillTalents/StackingRangeDamage	Text		Keeping momentum	Utrzymywanie pędu	Artillerist
SkillTalents/StandingStillIncreaseRangeDamage	Text		Focused accuracy	Skupiona dokładność	Fokustreffer
SkillTalents/StrongerWellFedBuffs	Text		Healthy diet	Zdrowa dieta	Gesunde Ernährung
SkillTalents/ThornsDamageIncrease	Text		Thorny skin	Ciernista skóra	Dornenhaut
SkillTalents/ToolDurabilityLastsLonger	Text		The right tools in the right hands	Właściwe narzędzia we właściwych rękach	Sorgfältiger Gebrauch
SkillTalents/VisibleOreDistance	Text		Night vision	Widzenie w nocy	Nachtsicht
SkillTalents/WellFedBuffsThresholdReduction	Text		Not so picky	Nie tak wybredny	Nicht so mäklig
Skills/Cooking	Text		Cooking	Gotowanie	Kochen
Skills/CookingDesc	Text		Grabbing cooked food from the cooking pot increases the chance of gaining additional cooked food.	Wzięcie gotowanego jedzenia z garnka zwiększa szansę na zdobycie dodatkowego gotowanego jedzenia.	Wenn du gekochtes Essen aus dem Kochtopf nimmst, erhöht sich die Chance, ein zusätzliches gekochtes Essen zu erhalten.
Skills/CookingPerk	Text		+{0} Cooking skill	+{0} Umiejętności gotowania	+{0} Kochen-Fertigkeit
Skills/Crafting	Text		Crafting	Wytwarzanie	Fertigung
Skills/CraftingDesc	Text		Crafting items increases your physical durability.	Wytwarzanie przedmiotów zwiększa wytrzymałość fizyczną.	Die Fertigung von Gegenständen erhöht deine körperliche Belastbarkeit.
Skills/CraftingPerk	Text		+{0} Crafting skill	+{0} Umiejętności rzemiosła	+{0} Fertigung-Fertigkeit
Skills/Fishing	Text		Fishing	Wędkarstwo	Angeln
Skills/FishingDesc	Text		Reeling up fish or other treasures from waters increases your fishing skill.	Wyławianie ryb lub innych skarbów z wody zwiększa umiejętności wędkarskie.	Das Einholen von Fischen oder anderen Schätzen aus den Gewässern erhöht deine Angeln-Fertigkeit.
Skills/FishingPerk	Text		+{0} Fishing skill	+{0} Umiejętności łowienia ryb	+{0} Angeln-Fertigkeit
Skills/Gardening	Text		Gardening	Ogrodnictwo	Gärtnern
Skills/GardeningDesc	Text		Harvesting plants gives you green fingers, allowing you to gain extra plants.	Zbieranie roślin daje ci zielone palce, pozwalając ci zdobyć dodatkowe rośliny.	Wenn du Pflanzen erntest, bekommst du einen grünen Daumen, mit dem du zusätzliche Pflanzen erhalten kannst.
Skills/GardeningPerk	Text		+{0} Gardening skill	+{0} Umiejętności ogrodnicza	+{0} Gärtnern-Fertigkeit
Skills/Magic	Text	 [new]	Magic	Magia	Magie
Skills/MagicDesc	Text	 [new]	Attacking with magic weapons improves your magic damage.	Atakowanie bronią magiczną zwiększa obrażenia magiczne.	Angriffe mit magischen Waffen verbessern deinen Magieschaden.
Skills/MagicPerk	Text	 [new]	+{0} Magic skill	+{0} Umiejętności magicznej	+{0} Magie-Fertigkeit
Skills/Melee	Text		Melee combat	Walka wręcz	Nahkampf
Skills/MeleeDesc	Text		Fighting in melee increases your strength.	Walka wręcz zwiększa twoją siłę.	Wenn du im Nahkampf kämpfst, erhöht sich deine Stärke.
Skills/MeleePerk	Text		+{0} Melee skill	+{0} Umiejętności walki wręcz	+{0} Nahkampf-Fertigkeit
Skills/Mining	Text		Mining	Górnictwo	Bergbau
Skills/MiningDesc	Text		Excavating walls increases your mining damage.	Wykopywanie ścian zwiększa twoje obrażenia górnicze.	Das Ausheben von Wänden erhöht deinen Bergbauschaden.
Skills/MiningPerk	Text		+{0} Mining skill	+{0} Umiejętności górniczej	+{0} Bergbau-Fertigkeit
Skills/Range	Text		Range combat	Walka dystansowa	Fernkampf
Skills/RangeDesc	Text		Shooting with ranged weapons improves your firepower.	Strzelanie z broni dystansowej zwiększa siłę ognia.	Die Nutzung von Fernkampfwaffen verbessert deine Feuerkraft.
Skills/RangePerk	Text		+{0} Range combat skill	+{0} Umiejętności walki na odległość	+{0} Fernkampf-Fertigkeit
Skills/Running	Text		Running	Bieganie	Laufen
Skills/RunningDesc	Text		Running increases your movement speed.	Bieganie zwiększa szybkość ruchu.	Laufen erhöht deine Bewegungsgeschwindigkeit.
Skills/RunningPerk	Text		+{0} Running skill	+{0} Umiejętności biegania	+{0} Laufen-Fertigkeit
Skills/Summoning	Text	 [new]	Summoning	Przywoływanie	Beschwörung
Skills/SummoningDesc	Text	 [new]	Summoned minions that attack improves your minions damage.	Przywołani sługusi, którzy atakują, zwiększają obrażenia zadawane przez twoich sługusów.	Beschworene Unterlinge, die angreifen, erhöhen den Schaden deiner Unterlinge.
Skills/SummoningPerk	Text	 [new]	+{0} Summoning skill	+{0} Umiejętności przywoływania	+{0} Beschwörung-Fertigkeit
Skills/Vitality	Text		Vitality	Witalność	Vitalität
Skills/VitalityDesc	Text		Defeating enemies makes you tougher and increases your maximum health.	Pokonywanie wrogów zwiększa twoją wytrzymałość i maksymalne zdrowie.	Wenn du Feinde besiegst, wirst du widerstandsfähiger und erhöhst deine maximale Gesundheit.
Skills/VitalityPerk	Text		+{0} Vitality skill	+{0} Umiejętności witalności	+{0} Vitalität-Fertigkeit
Souls/SoulDesc1	Text		The soul of Azeos empowers you with the ancient thunder.	Dusza Azeosa obdarza cię mocą starożytnego grzmotu.	Die Seele von Azeos verleiht dir die Kraft des alten Donners.
Souls/SoulDesc2	Text		The soul of Omoroth empowers you with the forces of the depth.	Dusza Omorotha obdarza cię mocami głębin.	Die Seele von Omoroth verleiht dir Macht über die Mächte der Tiefe.
Souls/SoulDesc3	Text		The soul of Ra-Akar empowers you with the ancient force of the desert.	Dusza Ra-Akara obdarza cię starożytną siłą pustyni.	Die Seele von Ra-Akar verleiht dir die antiken Kräfte der Wüste.
Souls/SoulDesc4	Text	 [new]	The soul of Druidra imbues you with the enduring vitality of the ancient forests.	Dusza Druidry nasyca cię trwałą witalnością starożytnych lasów.	Die Seele von Druidra durchdringt dich mit der unvergänglichen Vitalität der uralten Wälder.
Souls/SoulDesc5	Text	 [new]	The soul of Crydra engulfs you in the protective embrace of the ocean's depths.	Dusza Crydry otula cię ochronnym uściskiem oceanicznych głębin.	Die Seele von Crydra umfängt dich mit der schützenden Umarmung der Ozeantiefen.
Souls/SoulDesc6	Text	 [new]	The soul of Pyrdra ignites your spirit with the unyielding fury of liquid stone.	Dusza Pyrdry rozpala twego ducha nieugiętą furią płynnego kamienia.	Die Seele von Pyrdra entfacht deinen Geist mit der unbeugsamen Wucht flüssigen Gesteins.
Souls/SoulTitle1	Text		Soul of Azeos	Dusza Azeosa	Seele von Azeos
Souls/SoulTitle2	Text		Soul of Omoroth	Dusza Omorotha	Seele von Omoroth
Souls/SoulTitle3	Text		Soul of Ra-Akar	Dusza Ra-Akara	Seele von Ra-Akar
Souls/SoulTitle4	Text	 [new]	Soul of Druidra	Dusza Druidry	Seele von Druidra
Souls/SoulTitle5	Text	 [new]	Soul of Crydra	Dusza Crydry	Seele von Crydra
Souls/SoulTitle6	Text	 [new]	Soul of Pyrdra	Dusza Pyrdry	Seele von Pyrdra
StartOnlineGame	Text	 [new]	Start Online Game	Rozpocznij grę online	Onlinespiel starten
Stats/Adventure	Text		Adventure	Przygoda	Abenteuer
Stats/Defense	Text		Defense	Obrona	Verteidigung
Stats/Health	Text		Health	Zdrowie	Gesundheit
Stats/MagicBarrier	Text	 [new]	Barrier	Bariera	Barriere
Stats/Mana	Text	 [new]	Mana	Mana	Mana
Stats/Minions	Text	 [new]	Minions	Sługusy	Unterlinge
Stats/Offense	Text		Offense	Ofensywa	Angriff
SummonEntity	Text	 [new]	Summon entity	Przywołaj jednostkę	Entität beschwören
TeleportToCore	Text		Teleport to the Core	Teleportuj do rdzenia	Zum Kern teleportieren
TheCore/ActivationSentence1	Text		Thou hast awakened us...	Tyś nas wybudził...	Ihr habt uns erweckt...
TheCore/ActivationSentence10	Text		In return,* thou shalt be able to go back to whence thou camest.	W zamian,* będziesz mógł wrócić do miejsca, z którego przybyłeś.	Im Gegenzug* soll es Euch möglich sein, dahin zurückzukehren, von wo Ihr kamt.
TheCore/ActivationSentence11	Text		By the power with which we now imbue thee, the Great Wall shall be opened as thou layest a hand upon it.	Dzięki mocy, którą cię teraz obdarzymy, Wielki Mur zostanie otwarty, gdy tylko położysz na nim dłoń.	Mit der Macht, die Ihr nun von uns erhaltet, wird sich Euch die Große Mauer öffnen, sofern Ihr Eure Hand daran legt.
TheCore/ActivationSentence2	Text		Never have we seen a creature such as thee.	Nigdy nie widzieliśmy stworzenia takiego jak ty.	Noch nie sahen wir ein Lebewesen wie Euch.
TheCore/ActivationSentence3	Text		There once was a thriving civilization here, but it seems all of it has been lost.	Kiedyś istniała tu kwitnąca cywilizacja, ale wygląda na to, że wszystko przepadło.	Einst gab es hier eine blühende Zivilisation, doch nun scheint sie seit Langem verloren.
TheCore/ActivationSentence4	Text		We must have been dormant for aeons.	Musieliśmy być uśpieni przez eony.	Wir müssen seit Äonen geruht haben.
TheCore/ActivationSentence5	Text		We wonder...	Zastanawiamy się...	Wir fragen uns ...
TheCore/ActivationSentence6	Text		We must ask something of thee.	Musimy cię o coś poprosić.	Wir müssen Euch um etwas ersuchen.
TheCore/ActivationSentence7	Text		Seek the ancient titans still roaming beyond the Great Wall.	Poszukaj starożytnych tytanów wciąż wędrujących za Wielkim Murem.	Findet die uralten Titanen, die noch immer durch die Lande jenseits der Großen Mauer ziehen.
TheCore/ActivationSentence8	Text		Destroy them and collect their souls.	Zniszcz ich i zbierz ich dusze.	Zerstört sie und verleibt Euch ihre Seelen ein.
TheCore/ActivationSentence9	Text		With their energy we can restore what once was.	Z ich energią możemy przywrócić to, co kiedyś było.	Mit ihrer Macht können wir wiederherstellen, was einst war.
TheCore/CoreBossIntroSentence1	Text	 [new]&	Our world... long ago hath been erased.	Nasz świat... dawno temu został wymazany.	Unsere Welt ... wurde vor langer Zeit ausgelöscht.
TheCore/CoreBossIntroSentence2	Text	 [new]	This one we discovered, amidst a multitude.	Ten odkryliśmy pośród wielu.	Unter vielen fanden wir diese hier.
TheCore/CoreBossIntroSentence3	Text	 [new]	There hath been mistakes...	Wystąpiły błędy...	Es wurden ... Fehler gemacht.
TheCore/CoreBossIntroSentence4	Text	 [new]	Thanks to thee, 'tis finally accomplished.	Dzięki tobie w końcu się udało.	Dank Euch ist es endlich vollbracht.
TheCore/CoreBossIntroSentence5	Text	 [new]	Yet there exists no room for thee in our rekindled society.	Jednak nie ma dla ciebie miejsca w naszym odrodzonym społeczeństwie.	Und doch, gibt es keinen Platz für Euch in unserem neu belebten Reich.
TheCore/CoreBossOutroSentence1	Text	 [new]	Another world... which hath expelled us.	Inny świat... który nas wyrzucił.	Eine weitere Welt ... die uns verstoßen hat.
TheCore/CoreBossOutroSentence2	Text	 [new]	Or... was it the unity of its inhabitants?	A może... to była jedność jego mieszkańców?	Oder ... war es der Zusammenhalt ihrer Bewohner?
TheCore/CoreBossPhaseSentence1	Text	 [new]	Thee strength is why thy must perish!	Dlatego twoja siła musi zginąć!	Eure Stärke ist der Grund Eures Untergangs!
TheCore/CoreCoreBossDesertHint1	Text	 [new]	...come to us ...the barren place far to the {0}...	...przybądź do nas...do jałowego miejsca daleko na {0}...	... komm zu uns ... an den kargen Ort weit {0} von hier ...
TheCore/CoreCoreBossDesertHint2	Text	 [new]	...find us at the origin of this world...	...znajdź nas u początków tego świata...	... finde uns am Ursprung dieser Welt ...
TheCore/CoreCoreBossSentence1	Text	 [new]	Thou hast achieved the seeming impossible.	Osiągnąłeś pozornie niemożliwe.	Ihr habt das scheinbar Unmögliche erreicht.
TheCore/CoreCoreBossSentence2	Text	 [new]	Only through collective spirit could such powers be harnessed.	Tylko dzięki zbiorowemu duchowi można okiełznać takie moce.	Nur durch einen vereinten Geist können solch Mächte gebändigt werden.
TheCore/CoreCoreBossSentence3	Text	 [new]	With these, we may at last restore what once hath been.	Dzięki nim możemy w końcu przywrócić to, co kiedyś było.	Damit können wir letztendlich wiederherstellen, was einst war.
TheCore/CoreCoreBossSentence4	Text	 [new]	Come to us, unto the place where we once set our roots in this world.	Przyjdź do nas, do miejsca, w którym kiedyś zapuściliśmy korzenie na tym świecie.	Kommt zu uns. An den Ort, an dem wir einst Wurzeln in dieser Welt schlugen.
TheCore/CoreCoreBossSentence5	Text	 [new]	This instrument, it hath fulfilled its purpose.	Ten instrument spełnił swoje zadanie.	Dieses Werkzeug... es hat seinen Zweck erfüllt.
TheCore/CoreFinalSpeechSentence1	Text	 [new]	Awakening all systems...	Budząc wszystkie systemy...	Erweckung aller Systeme ...
TheCore/CoreFinalSpeechSentence2	Text	 [new]	**There was a presence. **It hath now departed.	**Była obecność. **Teraz odeszła.	**Da war eine Präsenz. **Sie ist nun fort.
TheCore/CoreFinalSpeechSentence4	Text	 [new]	My deepest gratitude.	Moja najgłębsza wdzięczność.	Meinen tiefsten Dank.
TheCore/CoreFinalSpeechSentence5	Text	 [new]	With our combined efforts I shall return thee to where thou camest.	Wspólnymi siłami przywrócę cię tam, skąd przybyłeś.	Mit unseren vereinten Kräften werden wir Euch dorthin zurückschicken, von wo Ihr kamt.
TheCore/CoreFinalSpeechSentence7	Text	 [new]	There, *I hath discovered it.	Tam *ją odkryłem.	Da, *ich habe es gefunden.
TheCore/CoreFinalSpeechSentence8	Text	 [new]	If ever thou findst your way hither again, let us be a force for brilliance.	Jeśli kiedykolwiek odnajdziesz tu swoją drogę, bądźmy siłą dla blasku.	Solltet Ihr jemals wieder euren Weg hierher finden, lasst uns mit vereinten Kräften glänzen.
TheCore/CoreFinalSpeechSentence9	Text	 [new]	Farewell, strange traveller...	Żegnaj, dziwny podróżniku...	Lebt wohl, seltsamer Reisender ...
TheCore/NextSoulUnderDevelopment	Text	The core will say this line when player has defeated all souls bosses while there still are more bosses being developed during early access.	The next soul is still being shaped by the makers of this world.	Następna dusza jest wciąż kształtowana przez twórców tego świata.	Die nächste Seele wird noch immer von den Machern dieser Welt geformt.
TheCore/SoulOfBirdBossHint1	Text	"{0} will be replaced with the direction of the nature biome such as ""north east"" or ""south"""	The flourishing wilderness in which Azeos resides thrives {0} from here.	Kwitnąca dzicz, w której żyje Azeos, rozwija się {0} stąd.	Die blühende Wildnis, in der Azeos lebt, befindet sich {0} von hier.
TheCore/SoulOfBirdBossHint2	Text		Azeos has a liking for shiny glimmering objects.	Azeos lubi błyszczące, mieniące się przedmioty.	Azeos hat ein Verlangen nach großen, glänzenden Objekten.
